universo,painel,ano,setor_bndes,valor_real_jun2026,valor_total_verde_real_jun2026,participacao_verde_estrito_pct
Contratações,B. Valor contratado,2006,Indústria,28827132.440281,1586146419.547949,1.8174319902002944
Contratações,B. Valor contratado,2006,Infraestrutura,1366023927.265699,1586146419.547949,86.12218332624141
Contratações,B. Valor contratado,2007,Agropecuária,4552037.34588,1789712383.921782,0.2543446302754612
Contratações,B. Valor contratado,2007,Comércio e Serviços,11211266.527783,1789712383.921782,0.6264283931039156
Contratações,B. Valor contratado,2007,Indústria,212806764.511853,1789712383.921782,11.89055662930215
Contratações,B. Valor contratado,2007,Infraestrutura,1561142315.536266,1789712383.921782,87.22867034731847
Contratações,B. Valor contratado,2008,Agropecuária,25864864.513179,6230462417.953499,0.41513555139418934
Contratações,B. Valor contratado,2008,Comércio e Serviços,204158159.121542,6230462417.953499,3.276773783808509
Contratações,B. Valor contratado,2008,Indústria,450404055.476614,6230462417.953499,7.22906303356785
Contratações,B. Valor contratado,2008,Infraestrutura,5550035338.842164,6230462417.953499,89.07902763122945
Contratações,B. Valor contratado,2009,Agropecuária,5388234.943454,2173612678.12073,0.24789305830294384
Contratações,B. Valor contratado,2009,Comércio e Serviços,36449297.937017,2173612678.12073,1.6768993990470495
Contratações,B. Valor contratado,2009,Indústria,438065399.450986,2173612678.12073,20.15379298531375
Contratações,B. Valor contratado,2009,Infraestrutura,1693709745.789273,2173612678.12073,77.92141455733626
Contratações,B. Valor contratado,2010,Agropecuária,269954731.361171,3693481856.33218,7.308949708209752
Contratações,B. Valor contratado,2010,Comércio e Serviços,744353130.298741,3693481856.33218,20.1531551866867
Contratações,B. Valor contratado,2010,Indústria,351688929.15165,3693481856.33218,9.52188051360554
Contratações,B. Valor contratado,2010,Infraestrutura,2327485065.520618,3693481856.33218,63.016014591498006
Contratações,B. Valor contratado,2011,Agropecuária,30207218.711358,1722606287.902701,1.7535764802145093
Contratações,B. Valor contratado,2011,Comércio e Serviços,387446601.658163,1722606287.902701,22.491883628840405
Contratações,B. Valor contratado,2011,Indústria,486110151.352573,1722606287.902701,28.21945761874696
Contratações,B. Valor contratado,2011,Infraestrutura,818842316.180607,1722606287.902701,47.535082272198125
Contratações,B. Valor contratado,2012,Agropecuária,32725157.985456,2431177275.853452,1.346062186023354
Contratações,B. Valor contratado,2012,Comércio e Serviços,358861872.57324,2431177275.853452,14.76082703377784
Contratações,B. Valor contratado,2012,Indústria,263095632.68692,2431177275.853452,10.821737900398961
Contratações,B. Valor contratado,2012,Infraestrutura,1776494612.607836,2431177275.853452,73.07137287979984
Contratações,B. Valor contratado,2013,Agropecuária,601502091.980268,6050026183.10244,9.942140311065877
Contratações,B. Valor contratado,2013,Comércio e Serviços,525986257.819795,6050026183.10244,8.693950107007147
Contratações,B. Valor contratado,2013,Indústria,780361940.208936,6050026183.10244,12.898488644370927
Contratações,B. Valor contratado,2013,Infraestrutura,4142175893.093441,6050026183.10244,68.46542093755605
Contratações,B. Valor contratado,2014,Agropecuária,1390707.347119,3803384290.159749,0.03656499688230525
Contratações,B. Valor contratado,2014,Comércio e Serviços,1314959899.142523,3803384290.159749,34.57341669482713
Contratações,B. Valor contratado,2014,Indústria,274933433.666083,3803384290.159749,7.22865250238848
Contratações,B. Valor contratado,2014,Infraestrutura,2212100250.004024,3803384290.159749,58.161365805902086
Contratações,B. Valor contratado,2015,Agropecuária,127282686.436258,2654933730.380031,4.79419448326639
Contratações,B. Valor contratado,2015,Comércio e Serviços,192980904.289528,2654933730.380031,7.268765396336444
Contratações,B. Valor contratado,2015,Indústria,202802895.697736,2654933730.380031,7.638717809679811
Contratações,B. Valor contratado,2015,Infraestrutura,2131867243.956509,2654933730.380031,80.29832231071735
Contratações,B. Valor contratado,2016,Agropecuária,152190123.524464,587924218.241469,25.88601027181318
Contratações,B. Valor contratado,2016,Comércio e Serviços,291071930.277371,587924218.241469,49.50840962938926
Contratações,B. Valor contratado,2016,Indústria,129790078.644976,587924218.241469,22.075987791962216
Contratações,B. Valor contratado,2016,Infraestrutura,14872085.794658,587924218.241469,2.5295923068353376
Contratações,B. Valor contratado,2017,Agropecuária,98110842.414218,345820988.495859,28.370412924024368
Contratações,B. Valor contratado,2017,Comércio e Serviços,54129693.409258,345820988.495859,15.652518270997357
Contratações,B. Valor contratado,2017,Indústria,10735920.793475,345820988.495859,3.104473456099544
Contratações,B. Valor contratado,2017,Infraestrutura,182844531.878908,345820988.495859,52.87259534887873
Contratações,B. Valor contratado,2018,Agropecuária,122257709.910124,3653292992.013144,3.3465071150166357
Contratações,B. Valor contratado,2018,Comércio e Serviços,977041431.331994,3653292992.013144,26.744130116801724
Contratações,B. Valor contratado,2018,Indústria,344192370.102944,3653292992.013144,9.421428033706025
Contratações,B. Valor contratado,2018,Infraestrutura,2209801480.668082,3653292992.013144,60.487934734475616
Contratações,B. Valor contratado,2019,Agropecuária,0.0,799423147.257148,0.0
Contratações,B. Valor contratado,2019,Comércio e Serviços,75438185.045095,799423147.257148,9.43657752517254
Contratações,B. Valor contratado,2019,Indústria,196479274.564336,799423147.257148,24.57763141315886
Contratações,B. Valor contratado,2019,Infraestrutura,527505687.647717,799423147.257148,65.9857910616686
Contratações,B. Valor contratado,2020,Agropecuária,0.0,739705147.228437,0.0
Contratações,B. Valor contratado,2020,Comércio e Serviços,86514986.443713,739705147.228437,11.695874601910171
Contratações,B. Valor contratado,2020,Indústria,122748221.227324,739705147.228437,16.594209420772987
Contratações,B. Valor contratado,2020,Infraestrutura,530441939.5574,739705147.228437,71.70991597731684
Contratações,B. Valor contratado,2021,Agropecuária,8467655.93743,2937842732.470079,0.2882269988057041
Contratações,B. Valor contratado,2021,Comércio e Serviços,91736992.385354,2937842732.470079,3.12259711425136
Contratações,B. Valor contratado,2021,Indústria,549408478.336785,2937842732.470079,18.701085400676074
Contratações,B. Valor contratado,2021,Infraestrutura,2288229605.81051,2937842732.470079,77.88809048626686
Contratações,B. Valor contratado,2022,Agropecuária,234809914.389129,15797702613.167707,1.486354820943459
Contratações,B. Valor contratado,2022,Comércio e Serviços,575445506.455234,15797702613.167707,3.642589815405111
Contratações,B. Valor contratado,2022,Indústria,825337958.445653,15797702613.167707,5.224417617266178
Contratações,B. Valor contratado,2022,Infraestrutura,14162109233.877691,15797702613.167707,89.64663774638525
Contratações,B. Valor contratado,2023,Agropecuária,216047719.40376,4194900458.823,5.15024662741052
Contratações,B. Valor contratado,2023,Comércio e Serviços,180449625.807812,4194900458.823,4.30164261533973
Contratações,B. Valor contratado,2023,Indústria,1351901949.038748,4194900458.823,32.227271238232504
Contratações,B. Valor contratado,2023,Infraestrutura,2446501164.57268,4194900458.823,58.32083951901725
Contratações,B. Valor contratado,2024,Agropecuária,1172322663.061271,12882599598.530113,9.100047347548017
Contratações,B. Valor contratado,2024,Comércio e Serviços,1201401107.502851,12882599598.530113,9.325766110435733
Contratações,B. Valor contratado,2024,Indústria,4438077737.369645,12882599598.530113,34.45017213665496
Contratações,B. Valor contratado,2024,Infraestrutura,6070798090.596346,12882599598.530113,47.12401440536129
Contratações,B. Valor contratado,2025,Agropecuária,2053890548.612608,15509782872.540312,13.242548690020481
Contratações,B. Valor contratado,2025,Comércio e Serviços,2567489523.463105,15509782872.540312,16.55400043032699
Contratações,B. Valor contratado,2025,Indústria,3745794979.213142,15509782872.540312,24.151176131839858
Contratações,B. Valor contratado,2025,Infraestrutura,7142607821.251456,15509782872.540312,46.05227474781267
