universo,setor_bndes,territorio,tipo_territorio,valor_acumulado_real_jun2026,valor_medio_anual_real_jun2026,valor_medio_anual_milhoes,participacao_total_setor_pct
Desembolsos,Infraestrutura,PR,UF,2293752752.180941,95573031.34087254,95.57303134087255,6.4790293780686605
Desembolsos,Infraestrutura,RJ,UF,5570003226.394195,232083467.7664248,232.0834677664248,15.733262665486459
Desembolsos,Infraestrutura,RN,UF,918753393.518396,38281391.39659984,38.28139139659984,2.5951490290948307
Desembolsos,Infraestrutura,RO,UF,3888808.799026,162033.69995941667,0.16203369995941666,0.010984490996522983
Desembolsos,Infraestrutura,RR,UF,536604.361422,22358.51505925,0.02235851505925,0.0015157149866075262
Desembolsos,Infraestrutura,RS,UF,1747868471.961555,72827852.99839813,72.82785299839813,4.937101947047852
Desembolsos,Infraestrutura,SC,UF,586559214.588873,24439967.274536375,24.439967274536375,1.6568195415503097
Desembolsos,Infraestrutura,SE,UF,14921335.067781,621722.294490875,0.621722294490875,0.0421474233315854
Desembolsos,Infraestrutura,SP,UF,9556118002.862139,398171583.45258915,398.1715834525891,26.99260817102686
Desembolsos,Infraestrutura,TO,UF,269202.488399,11216.770349958333,0.011216770349958334,0.0007604005398262389
Desembolsos,Infraestrutura,Sem identificação territorial,Residual,0.0,0.0,0.0,0.0
