universo,bloco_tematico,territorio,tipo_territorio,valor_real_jun2026,valor_total_bloco_real_jun2026,participacao_total_bloco_pct,classe_mapa
Desembolsos,Energia e eficiência,RN,UF,0.0,3094741869.914657,0.0,0%
Desembolsos,Energia e eficiência,RO,UF,0.0,3094741869.914657,0.0,0%
Desembolsos,Energia e eficiência,RR,UF,0.0,3094741869.914657,0.0,0%
Desembolsos,Energia e eficiência,RS,UF,45234392.211409,3094741869.914657,1.4616531559918573,>1–5%
Desembolsos,Energia e eficiência,SC,UF,8602391.291352,3094741869.914657,0.27796797448535593,>0–1%
Desembolsos,Energia e eficiência,SE,UF,256932.234015,3094741869.914657,0.008302218563452769,>0–1%
Desembolsos,Energia e eficiência,SP,UF,1333586904.088473,3094741869.914657,43.09202383090028,>20%
Desembolsos,Energia e eficiência,TO,UF,2218830.809766,3094741869.914657,0.0716967974400782,>0–1%
Desembolsos,Energia e eficiência,Sem identificação territorial,Residual,0.0,3094741869.914657,0.0,0%
Desembolsos,Florestas e bioeconomia,AC,UF,354300395.142085,3770127732.767003,9.397570062753655,>5–10%
Desembolsos,Florestas e bioeconomia,AL,UF,3294138.892827,3770127732.767003,0.0873747290893335,>0–1%
Desembolsos,Florestas e bioeconomia,AM,UF,570146587.606072,3770127732.767003,15.12273928150507,>10–20%
Desembolsos,Florestas e bioeconomia,AP,UF,111344525.912951,3770127732.767003,2.9533356375496624,>1–5%
Desembolsos,Florestas e bioeconomia,BA,UF,140351689.84743,3770127732.767003,3.7227303634198607,>1–5%
Desembolsos,Florestas e bioeconomia,CE,UF,29875709.492055,3770127732.767003,0.7924322890282652,>0–1%
Desembolsos,Florestas e bioeconomia,DF,UF,100947330.345721,3770127732.767003,2.677557300469311,>1–5%
Desembolsos,Florestas e bioeconomia,ES,UF,22053688.824431,3770127732.767003,0.5849586642053949,>0–1%
Desembolsos,Florestas e bioeconomia,GO,UF,8447467.117189,3770127732.767003,0.2240631542472744,>0–1%
Desembolsos,Florestas e bioeconomia,MA,UF,170084512.0154,3770127732.767003,4.511372666160841,>1–5%
Desembolsos,Florestas e bioeconomia,MG,UF,432671753.174626,3770127732.767003,11.476315494941494,>10–20%
Desembolsos,Florestas e bioeconomia,MS,UF,20236855.200067,3770127732.767003,0.536768423631488,>0–1%
Desembolsos,Florestas e bioeconomia,MT,UF,450758661.640394,3770127732.767003,11.956058085850835,>10–20%
Desembolsos,Florestas e bioeconomia,PA,UF,697396183.089168,3770127732.767003,18.497945759979046,>10–20%
Desembolsos,Florestas e bioeconomia,PB,UF,3444598.91856,3770127732.767003,0.09136557598890455,>0–1%
Desembolsos,Florestas e bioeconomia,PE,UF,3485542.375557,3770127732.767003,0.0924515725359486,>0–1%
Desembolsos,Florestas e bioeconomia,PI,UF,9117962.307574,3770127732.767003,0.24184756999949364,>0–1%
Desembolsos,Florestas e bioeconomia,PR,UF,8432522.463262,3770127732.767003,0.22366675775924266,>0–1%
Desembolsos,Florestas e bioeconomia,RJ,UF,37230027.29597,3770127732.767003,0.987500422661962,>0–1%
Desembolsos,Florestas e bioeconomia,RN,UF,3446405.830878,3770127732.767003,0.09141350307376948,>0–1%
Desembolsos,Florestas e bioeconomia,RO,UF,287924168.528157,3770127732.767003,7.6369870979634245,>5–10%
Desembolsos,Florestas e bioeconomia,RR,UF,121118146.108956,3770127732.767003,3.212574074249309,>1–5%
Desembolsos,Florestas e bioeconomia,RS,UF,10541372.937659,3770127732.767003,0.2796025409442133,>0–1%
Desembolsos,Florestas e bioeconomia,SC,UF,3277205.327335,3770127732.767003,0.08692557811376239,>0–1%
Desembolsos,Florestas e bioeconomia,SE,UF,3292186.530755,3770127732.767003,0.08732294405152081,>0–1%
Desembolsos,Florestas e bioeconomia,SP,UF,9544538.342302,3770127732.767003,0.2531622008280604,>0–1%
Desembolsos,Florestas e bioeconomia,TO,UF,157363557.499622,3770127732.767003,4.17395824899886,>1–5%
